ID,Country,Province/State,Study Pop Size (N),Positive/negative cases,Mean Age,% Male,% White or European,% African American,% Asian,% Hispanic or Latino,% Multiple ethnicities or other,Smoking history,"Hypertension,Diabetes", Cardiovascular Disease (incl. CAD),Chronic obstructive lung (COPD),Cancer (Any),Liver Disease (any),Cerebrovascular Disease,"Chronic kidney/renal disease,Other",Fever (temperature ≥37·3°C),Respiratory rate > 24 breaths per min,Cough,Shortness of Breath (dyspnoea),"Headache,Sputum (/Expectoration)",Myalgia (Muscle Pain),Fatigue,Upper air-way congestion,Diarrhoea,Nausea or Vomiting,Loss of Appetite/Anorexia, Sore Throat/Stuffy Nose,Chills,Chest Pain,Loss of smell/taste,Disease Severity Asymptomatic,Mortality
1.0,China,Wuhan,191,Positive only,,62.30%,0%,0%,100%,0%,0%,5.76%,,,3.00%,1.68%,,,,94%,29.00%,79%,,,15.00%,23.03%,,4.71%,4.00%,,,,,,,0.28
1.0,China,Wuhan,54,Positive only,,70.37%,0%,0%,100%,0%,0%,9.26%,,,7.41%,0.00%,,,,94.44%,62.96%,72.22%,,,14.81%,27.78%,,3.70%,5.56%,,,,,,,1
1.0,China,Wuhan,137,Positive only,,59.12%,0%,0%,100%,0%,0%,4.38%,,,1.46%,7.00%,,,,94.16%,16.06%,81.75%,,,15.33%,21.17%,,5.11%,2.92%,,,,,,,0
2.0,China,Wuhan,199,Positive only,,60.30%,0%,0%,100%,0%,0%,,,,,3.00%,,6.50%,,91.50%,18.80%,,,,,,,2.06%,4.25%,1%,,,,,,0.16
2.0,China,Wuhan,99,Positive only,,61.60%,0%,0%,100%,0%,0%,,,,,5.10%,,5.10%,,89.90%,21.60%,,,,,,,4.20%,9.50%,2.10%,,,,,,0.15
2.0,China,Wuhan,100,Positive only,,59.00%,0%,0%,100%,0%,0%,,,,,1.00%,,8.00%,,93.00%,16.00%,,,,,,,0%,0%,0%,,,,,,0.17
3.0,China,Wuhan,81,Positive only,49.5,52%,0%,0%,100%,0%,0%,,,,11%,5%,9%,7%,,73%,,59%,42%,,9%,9%,,4%,5%,1%,,,,,18.51%,0.04
3.0,China,Wuhan,15,Positive only,44.9,27.00%,0%,0%,100%,0%,0%,,,,7%,7%,0%,7%,,0.00%,,0.00%,0.00%,,0.00%,0%,,0%,0.00%,0%,,,,,100%,0
3.0,China,Wuhan,21,Positive only,48.8,52.00%,0%,0%,100%,0%,0%,,,,14%,5%,10%,5%,,86.00%,,71.00%,43.00%,,5.00%,9%,,5.00%,10.00%,5%,,,,,0%,0
3.0,China,Wuhan,30,Positive only,52.3,67.00%,0%,0%,100%,0%,0%,,,,10%,7%,10%,10%,,90.00%,,70.00%,43.00%,,13.00%,5%,,3.00%,7.00%,0%,,,,,0%,0.07
3.0,China,Wuhan,15,Positive only,49.5,47.00%,0%,0%,100%,0%,0%,,,,13%,0%,13%,7%,,93.00%,,80.00%,80.00%,,13.00%,13%,,7.00%,0.00%,0%,,,,,0%,0.07
4.0,China,Zhejiang,149,Positive only,45.11,54.40%,0%,0%,100%,0%,0%,,,,,1.34%,,18.79%,,76.50%,,58.40%,1.34%,,3.36%,,,7.38%,1.34%,,,14.09%,,,,0
5.0,China,Wuhan,21,Positive only,40.0,29.00%,0%,0%,100%,0%,0%,,,,,,,,,86%,,57%,,,24%,52%,,,,43%,,29%,,,,0
6.0,China,Beijing,77,Positive only,52.0,44.16%,0%,0%,100%,0%,0%,,,,7.79%,5.20%,,2.60%,,85.70%,,63.64%,20.80%,,27.30%,27.30%,,1.30%,7.79%,9.10%,,,,,0.00%,0.06
