,ID,Country,Province/State,Study Pop Size (N),Positive/negative cases,Mean Age,% Male,% White or European,% African American,% Asian,% Hispanic or Latino,% Multiple ethnicities or other,Smoking history,Hypertension,Diabetes,Cardiovascular Disease (incl. CAD),Chronic obstructive lung (COPD),Cancer (Any),Liver Disease (any),Cerebrovascular Disease,Chronic kidney/renal disease,Other,Fever (temperature ≥37·3°C),Respiratory rate > 24 breaths per min,Cough,Shortness of Breath (dyspnoea),Headache,Sputum (/Expectoration),Myalgia (Muscle Pain),Fatigue,Upper air-way congestion,Diarrhoea,Nausea or Vomiting,Loss of Appetite/Anorexia,Sore Throat/Stuffy Nose,Chills,Chest Pain,Loss of smell/taste,Disease Severity Asymptomatic,Mortality,Mortality_bin
0,1,China,Wuhan,191,Positive only,56,0.62,0.0,0.0,1.0,0.0,0.0,0.06,0.3,0.19,0.08,0.03,0.02,0.0,0.0,0.02,0.12,0.94,0.29,0.79,0.0,0.0,0.23,0.15,0.23,0.0,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.28,1
1,1,China,Wuhan,54,Positive only,69,0.7,0.0,0.0,1.0,0.0,0.0,0.09,0.48,0.31,0.24,0.07,0.0,0.0,0.0,0.04,0.2,0.94,0.63,0.72,0.0,0.0,0.26,0.15,0.28,0.0,0.04,0.06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
2,1,China,Wuhan,137,Positive only,52,0.59,0.0,0.0,1.0,0.0,0.0,0.04,0.23,0.14,0.01,0.01,0.07,0.0,0.0,0.0,0.08,0.94,0.16,0.82,0.0,0.0,0.22,0.15,0.21,0.0,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,2,China,Wuhan,199,Positive only,58,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.03,0.0,0.07,0.0,0.0,0.92,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.16,1
4,2,China,Wuhan,99,Positive only,59,0.62,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.9,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.1,0.02,0.0,0.0,0.0,0.0,0.0,0.15,1
5,2,China,Wuhan,100,Positive only,58,0.59,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.01,0.0,0.08,0.0,0.0,0.93,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,1
6,3,China,Wuhan,81,Positive only,50,0.52,0.0,0.0,1.0,0.0,0.0,0.0,0.15,0.12,0.1,0.11,0.05,0.09,0.07,0.04,0.16,0.73,0.0,0.59,0.42,0.06,0.19,0.09,0.09,0.0,0.04,0.05,0.01,0.0,0.0,0.0,0.0,0.19,0.04,0
7,3,China,Wuhan,15,Positive only,45,0.27,0.0,0.0,1.0,0.0,0.0,0.0,0.13,0.2,0.2,0.07,0.07,0.0,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
8,3,China,Wuhan,21,Positive only,49,0.52,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.1,0.05,0.14,0.05,0.1,0.05,0.0,0.15,0.86,0.0,0.71,0.43,0.1,0.14,0.05,0.09,0.0,0.05,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0
9,3,China,Wuhan,30,Positive only,52,0.67,0.0,0.0,1.0,0.0,0.0,0.0,0.23,0.1,0.1,0.1,0.07,0.1,0.1,0.1,0.2,0.9,0.0,0.7,0.43,0.07,0.2,0.13,0.05,0.0,0.03,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0
10,3,China,Wuhan,15,Positive only,50,0.47,0.0,0.0,1.0,0.0,0.0,0.0,0.13,0.13,0.07,0.13,0.0,0.13,0.07,0.0,0.2,0.93,0.0,0.8,0.8,0.07,0.4,0.13,0.13,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0
11,4,China,Zhejiang,149,Positive only,45,0.54,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.19,0.0,0.0,0.77,0.0,0.58,0.01,0.09,0.32,0.03,0.0,0.0,0.07,0.01,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0
12,6,China,Beijing,77,Positive only,52,0.44,0.0,0.0,1.0,0.0,0.0,0.0,0.21,0.08,0.12,0.08,0.05,0.0,0.03,0.07,0.0,0.86,0.0,0.64,0.21,0.13,0.0,0.27,0.27,0.0,0.01,0.08,0.09,0.07,0.0,0.0,0.0,0.0,0.06,0
13,6,China,Beijing,57,Positive only,45,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.14,0.07,0.05,0.05,0.05,0.0,0.02,0.04,0.0,0.83,0.0,0.58,0.14,0.18,0.0,0.33,0.33,0.0,0.02,0.05,0.07,0.09,0.0,0.0,0.0,0.0,0.0,0
14,6,China,Beijing,20,Positive only,69,0.55,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.1,0.3,0.15,0.05,0.0,0.05,0.15,0.0,0.95,0.0,0.8,0.4,0.0,0.0,0.1,0.1,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.25,1
15,7,China,Wuhan,36,Positive only,68,0.83,0.0,0.0,1.0,0.0,0.0,0.0,0.39,0.28,0.33,0.19,0.06,0.0,5.6,0.0,0.08,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,1
16,7,China,Wuhan,22,Positive only,69,0.86,0.0,0.0,1.0,0.0,0.0,0.0,0.36,0.27,0.27,0.18,0.09,0.0,0.0,0.0,0.14,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,1
17,7,China,Wuhan,14,Positive only,73,0.79,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.29,0.43,0.21,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,1
