Median Age,Smoking history,Current drinker,Obesity,Hypertension,Diabetes,Cardiovascular Disease (incl. CAD),Chronic obstructive lung (COPD),Cancer (Any),Liver Disease (any),Cerebrovascular Disease,Chronic kidney/renal disease,Other,Mortality
56,11,0,0,57,36,15,6,3,0,0,3,23,0
69,5,0,0,26,17,13,4,0,0,0,2,11,1
52,6,0,0,32,19,2,2,10,0,0,0,11,0
58,0,0,0,0,23,0,0,6,0,13,0,0,0
58,0,0,0,0,10,0,0,5,0,5,0,0,0
58,0,0,0,0,13,0,0,1,0,8,0,0,0
50,0,0,0,12,10,8,9,4,7,6,3,13,0
45,0,0,0,2,3,3,1,1,0,1,0,1,0
49,0,0,0,1,2,1,3,1,2,1,0,3,0
52,0,0,0,7,3,3,3,2,3,3,3,6,0
50,0,0,0,2,2,1,2,0,2,1,0,3,0
45,0,0,0,0,0,0,0,2,0,28,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,16,6,9,6,4,0,2,5,0,0
45,0,0,0,8,4,3,3,3,0,1,2,0,0
69,0,0,0,8,2,6,3,1,0,1,3,0,0
69,0,0,0,14,10,12,7,2,0,202,0,3,1
68,0,0,0,8,6,6,4,2,0,0,0,3,1
73,0,0,0,6,4,6,3,0,0,2,0,0,1
79,0,0,0,2362,1085,963,438,624,118,0,646,118,1
50,0,0,0,15,8,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,5,1,0,1,0,7,1,1,0,0
45,0,0,0,4,1,0,1,0,4,1,0,0,0
39,0,0,0,1,0,0,0,0,3,0,1,0,0
44,0,0,0,5,5,5,1,0,3,0,3,3,0
42,0,0,0,3,2,2,0,0,1,0,1,2,0
47,0,0,0,2,3,3,1,0,2,0,2,1,0
44,25,30,0,96,40,13,0,7,3,0,4,6,0
36,6,5,0,11,9,3,0,0,0,0,0,3,0
44,19,19,0,67,23,6,0,6,2,0,3,27,0
60,0,1,0,18,8,4,0,1,1,0,1,3,0
47,138,0,0,165,81,27,12,10,0,15,8,0,0
45,109,0,0,124,53,17,6,7,0,11,5,0,0
52,29,0,0,41,28,10,6,3,0,4,3,0,0
63,17,0,0,24,18,6,7,1,0,4,2,0,0
46,122,0,0,141,63,21,5,9,0,11,6,0,0
49,3,0,0,6,8,6,1,1,1,0,0,1,0
49,0,0,0,2,1,3,1,0,0,0,0,0,0
49,3,0,0,4,7,3,0,1,1,0,0,1,0
56,0,0,0,0,12,0,1,1,0,0,0,17,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,43,14,20,4,10,4,7,4,2,0
66,0,0,0,21,8,9,3,4,0,6,2,0,0
51,0,0,0,22,6,11,1,6,4,1,2,2,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0
49,4,0,0,5,3,1,0,0,1,0,0,2,0
47,9,0,0,13,12,7,0,4,2,0,0,0,0
44,8,0,0,9,3,1,0,1,1,0,0,0,0
56,1,0,0,4,9,6,4,3,1,0,0,0,0
45,3,3,0,1,0,0,0,0,0,0,0,3,0
