Date,percentage_1dose_or_recovered_under60s,percentage_2doses_or_recovered_unders60s,percentage_1dose_or_recovered_over60s,percentage_2doses_or_recovered_over60s
2020-12-20,4.356785639,4.289433143,3.312265303,3.164568615
2020-12-21,4.544149232,4.333014944,4.271680081,3.196549107
2020-12-22,4.778541179,4.383082053,6.374823647,3.231325336
2020-12-23,5.030060655,4.428637071,9.583101208,3.267942659
2020-12-24,5.286605259,4.47471828,13.4804936,3.302991642
2020-12-25,5.424454244,4.520931038,15.62707336,3.335108512
2020-12-26,5.521839113,4.550555612,17.48644238,3.36163391
2020-12-27,5.91721931,4.590414609,22.71740087,3.391705119
2020-12-28,6.547320324,4.653504954,28.88827216,3.435550443
2020-12-29,7.300287024,4.71841066,35.857292,3.477350106
2020-12-30,8.092915399,4.78643405,42.40197365,3.520308977
2020-12-31,9.057805674,4.854181189,48.46851626,3.562790526
2021-01-01,9.549097404,4.9233622,51.13830779,3.608817888
2021-01-02,10.10074328,4.971824425,53.40039918,3.642707664
2021-01-03,11.06335778,5.03194179,58.78907808,3.684098194
2021-01-04,12.13097377,5.129655528,63.34824165,3.741376689
2021-01-05,13.01183128,5.226211644,67.72390948,3.795791258
2021-01-06,13.73618633,5.317005966,71.37050389,3.854774469
2021-01-07,14.66659791,5.405550819,74.81812373,3.910075492
2021-01-08,15.36447237,5.499055026,76.20685446,3.976218515
2021-01-09,15.85967108,5.55856727,76.98522829,4.017336291
2021-01-10,16.27612524,5.695916373,77.81085687,4.179079848
2021-01-11,16.58577571,5.923388904,78.24385501,4.943474991
2021-01-12,16.91873645,6.188221022,78.74599647,6.603255737
2021-01-13,17.54362817,6.492175469,79.61908438,9.488387126
2021-01-14,18.25290783,6.805417193,80.33049691,13.12386679
2021-01-15,18.68660792,6.987545182,80.70553467,15.15882167
2021-01-16,19.08630288,7.096519415,80.96362884,16.67683815
2021-01-17,19.92964295,7.420008716,81.58291846,21.04016382
2021-01-18,20.86218561,8.001187088,82.14997555,26.7350781
2021-01-19,21.82076159,8.671094479,82.7130777,33.02978004
2021-01-20,22.84759775,9.422324748,83.24174457,39.25717976
2021-01-21,23.7684458,10.35218383,83.80948355,45.8272276
2021-01-22,24.31427727,10.8173107,84.11571892,48.64117001
2021-01-23,24.83544351,11.15529657,84.34278724,50.6194601
2021-01-24,25.73025825,12.02844538,84.86886293,55.73006555
2021-01-25,26.8430083,12.98511391,85.6994011,60.18885538
2021-01-26,27.89668022,13.86289321,86.27900491,64.41348527
2021-01-27,28.958245,14.74248786,86.79376128,68.56876726
2021-01-28,30.04377781,15.73913379,87.25430765,72.50680012
2021-01-29,30.59147725,16.35588269,87.44809989,74.05706984
2021-01-30,31.05880097,16.7677853,87.58509095,74.94372729
2021-01-31,32.02458577,17.29681811,88.001792,76.4838369
2021-02-01,33.14226886,17.7107334,88.46724795,77.24959581
2021-02-02,34.08370416,18.07967248,88.91061077,77.92186804
2021-02-03,34.88298885,18.64493356,89.3087645,78.78950085
2021-02-04,35.85874498,19.32892973,89.64207078,79.51836969
2021-02-05,36.35727184,19.71060264,89.81226974,79.86845039
2021-02-06,36.65225472,19.98776079,89.89675551,80.05283259
