ID,Country,Province/State,Study Pop Size (N),Positive/negative cases,Mean Age,% Male,% White or European,% African American,% Asian,% Hispanic or Latino,% Multiple ethnicities or other,Smoking history,Hypertension,Diabetes,Cardiovascular Disease (incl. CAD),Chronic obstructive lung (COPD),Cancer (Any),Liver Disease (any),Cerebrovascular Disease,Chronic kidney/renal disease,Other,Fever (temperature ≥37·3°C),Respiratory rate > 24 breaths per min,Cough,Shortness of Breath (dyspnoea),Headache,Sputum (/Expectoration),Myalgia (Muscle Pain),Fatigue,Upper air-way congestion,Diarrhoea,Nausea or Vomiting,Loss of Appetite/Anorexia,Sore Throat/Stuffy Nose,Chills,Chest Pain,Loss of smell/taste,Disease Severity Asymptomatic,Mortality
1,China,Wuhan,191,Positive only,56,0.62,0.00,0.00,1.00,0.00,0.00,0.06,0.30,0.19,0.08,0.03,0.02,,,0.02,0.12,0.94,0.29,0.79,,,0.23,0.15,0.23,,0.05,0.04,,,,,,,0.28
1,China,Wuhan,54,Positive only,69,0.70,0.00,0.00,1.00,0.00,0.00,0.09,0.48,0.31,0.24,0.07,0.00,,,0.04,0.20,0.94,0.63,0.72,,,0.26,0.15,0.28,,0.04,0.06,,,,,,,1.00
1,China,Wuhan,137,Positive only,52,0.59,0.00,0.00,1.00,0.00,0.00,0.04,0.23,0.14,0.01,0.01,0.07,,,0.00,0.08,0.94,0.16,0.82,,,0.22,0.15,0.21,,0.05,0.03,,,,,,,0.00
2,China,Wuhan,199,Positive only,58,0.60,0.00,0.00,1.00,0.00,0.00,,,0.12,,,0.03,,0.07,,,0.92,0.19,,,,,,,,0.02,0.04,0.01,,,,,,0.16
2,China,Wuhan,99,Positive only,59,0.62,0.00,0.00,1.00,0.00,0.00,,,0.10,,,0.05,,0.05,,,0.90,0.22,,,,,,,,0.04,0.10,0.02,,,,,,0.15
2,China,Wuhan,100,Positive only,58,0.59,0.00,0.00,1.00,0.00,0.00,,,0.13,,,0.01,,0.08,,,0.93,0.16,,,,,,,,0.00,0.00,0.00,,,,,,0.17
3,China,Wuhan,81,Positive only,50,0.52,0.00,0.00,1.00,0.00,0.00,,0.15,0.12,0.10,0.11,0.05,0.09,0.07,0.04,0.16,0.73,,0.59,0.42,0.06,0.19,0.09,0.09,,0.04,0.05,0.01,,,,,0.19,0.04
3,China,Wuhan,15,Positive only,45,0.27,0.00,0.00,1.00,0.00,0.00,,0.13,0.20,0.20,0.07,0.07,0.00,0.07,0.00,0.07,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,,,,1.00,0.00
3,China,Wuhan,21,Positive only,49,0.52,0.00,0.00,1.00,0.00,0.00,,0.05,0.10,0.05,0.14,0.05,0.10,0.05,0.00,0.15,0.86,,0.71,0.43,0.10,0.14,0.05,0.09,,0.05,0.10,0.05,,,,,0.00,0.00
3,China,Wuhan,30,Positive only,52,0.67,0.00,0.00,1.00,0.00,0.00,,0.23,0.10,0.10,0.10,0.07,0.10,0.10,0.10,0.20,0.90,,0.70,0.43,0.07,0.20,0.13,0.05,,0.03,0.07,0.00,,,,,0.00,0.07
3,China,Wuhan,15,Positive only,50,0.47,0.00,0.00,1.00,0.00,0.00,,0.13,0.13,0.07,0.13,0.00,0.13,0.07,0.00,0.20,0.93,,0.80,0.80,0.07,0.40,0.13,0.13,,0.07,0.00,0.00,,,,,0.00,0.07
4,China,Zhejiang,149,Positive only,45,0.54,0.00,0.00,1.00,0.00,0.00,,,,,,0.01,,0.19,,,0.77,,0.58,0.01,0.09,0.32,0.03,,,0.07,0.01,,0.14,0.14,,,,0.00
6,China,Beijing,77,Positive only,52,0.44,0.00,0.00,1.00,0.00,0.00,,0.21,0.08,0.12,0.08,0.05,,0.03,0.07,,0.86,,0.64,0.21,0.13,,0.27,0.27,,0.01,0.08,0.09,0.07,,,,0.00,0.06
6,China,Beijing,57,Positive only,45,0.40,0.00,0.00,1.00,0.00,0.00,,0.14,0.07,0.05,0.05,0.05,,0.02,0.04,,0.83,,0.58,0.14,0.18,,0.33,0.33,,0.02,0.05,0.07,0.09,,,,0.00,0.00
6,China,Beijing,20,Positive only,69,0.55,0.00,0.00,1.00,0.00,0.00,,0.40,0.10,0.30,0.15,0.05,,0.05,0.15,,0.95,,0.80,0.40,0.00,,0.10,0.10,,0.00,0.15,0.15,0.00,,,,0.00,0.25
7,China,Wuhan,36,Positive only,68,0.83,0.00,0.00,1.00,0.00,0.00,,0.39,0.28,0.33,0.19,0.06,,5.60,,0.08,,,,1.00,,,,,,,,,,,,,,0.64
7,China,Wuhan,22,Positive only,69,0.86,0.00,0.00,1.00,0.00,0.00,,0.36,0.27,0.27,0.18,0.09,,0.00,,0.14,,,,1.00,,,,,,,,,,,,,,0.55
7,China,Wuhan,14,Positive only,73,0.79,0.00,0.00,1.00,0.00,0.00,,0.43,0.29,0.43,0.21,0.00,,0.14,,,,,,1.00,,,,,,,,,,,,,,0.79
8,Italy,Nationwide,3200,Positive only,80,0.71,1.00,0.00,0.00,0.00,0.00,,0.74,0.34,0.30,0.14,0.20,0.04,,0.20,0.04,0.76,,0.40,0.73,,,,,,0.08,,,,,,,0.00,1.00
9,China,Zhejiang,91,Positive only,48,0.41,0.00,0.00,1.00,0.00,0.00,,0.16,0.09,,,,,,,,0.71,,0.60,0.03,0.08,0.33,0.05,0.44,,0.23,0.07,0.25,,,,,,0.00
10,China,Seven hospitals,62,Positive only,41,0.57,0.00,0.00,1.00,0.00,0.00,,0.08,0.02,,0.02,,0.11,0.02,0.02,,0.77,0.03,0.81,0.03,0.34,0.57,0.52,0.52,,0.08,,,,,,,,0.00
10,China,Seven hospitals,33,Positive only,45,0.58,0.00,0.00,1.00,0.00,0.00,,0.12,0.03,,0.03,,0.12,0.03,0.00,,0.73,0.03,0.82,0.06,0.45,0.58,0.58,0.58,,0.09,,,,,,,,0.00
10,China,Seven hospitals,29,Positive only,39,0.55,0.00,0.00,1.00,0.00,0.00,,0.03,0.00,,0.00,,0.10,0.00,0.03,,0.83,0.03,0.79,0.00,0.21,0.55,0.45,0.45,,0.00,,,,,,,,0.00
12,China,Jiangsu,620,Positive only,44,0.53,0.00,0.00,1.00,0.00,0.00,0.04,0.15,0.06,0.02,,0.01,0.01,,0.01,0.01,0.66,,0.55,0.03,,0.27,,,,0.09,,0.02,,,,,0.16,0.00
12,China,Jiangsu,97,Positive only,36,0.45,0.00,0.00,1.00,0.00,0.00,0.06,0.11,0.09,0.03,,0.00,0.00,,0.00,0.03,0.24,,0.30,0.01,,0.12,,,,0.04,,0.01,,,,,1.00,0.00
12,China,Jiangsu,470,Positive only,44,0.53,0.00,0.00,1.00,0.00,0.00,0.04,0.14,0.05,0.01,,0.01,0.00,,0.01,0.06,0.73,,0.59,0.03,,0.25,,,,0.09,,0.02,,,,,0.00,0.00
12,China,Jiangsu,53,Positive only,60,0.66,0.00,0.00,1.00,0.00,0.00,0.00,0.34,0.15,0.08,,0.02,0.02,,0.02,0.05,0.85,,0.70,0.11,,0.42,,,,0.11,,0.00,,,,,0.00,0.00
13,China,Nationwide,1099,Positive only,47,0.58,0.00,0.00,1.00,0.00,0.00,0.13,0.15,0.07,0.03,0.01,0.01,,0.01,0.01,,0.89,,0.68,0.19,0.14,0.34,0.15,0.38,0.05,0.04,0.05,,0.14,0.12,,,,0.01
13,China,Nationwide,926,Positive only,45,0.58,0.00,0.00,1.00,0.00,0.00,0.12,0.13,0.06,0.02,0.01,0.01,,0.01,0.01,,0.88,,0.67,0.15,0.13,0.33,0.15,0.38,0.05,0.04,0.05,,0.14,0.11,,,,0.00
13,China,Nationwide,173,Positive only,51,0.58,0.00,0.00,1.00,0.00,0.00,0.17,0.24,0.16,0.06,0.04,0.02,,0.02,0.02,,0.92,,0.71,0.38,0.15,0.35,0.17,0.40,0.04,0.06,0.07,,0.13,0.15,,,,0.08
13,China,Nationwide,67,Positive and Negative/Unconfirmed,62,0.67,0.00,0.00,1.00,0.00,0.00,0.26,0.36,0.27,0.09,0.10,0.02,,0.06,0.03,,0.88,,0.69,0.54,0.12,0.30,0.09,0.33,0.03,0.06,0.05,,0.09,0.12,,,,0.22
13,China,Nationwide,1032,Positive and Negative/Unconfirmed,46,0.58,0.00,0.00,1.00,0.00,0.00,0.12,0.14,0.06,0.02,0.01,0.01,,0.01,0.01,,0.89,,0.68,0.16,0.14,0.34,0.15,0.39,0.05,0.04,0.05,,0.14,0.11,,,,0.00
16,China,Wuhan,41,Positive only,49,0.73,0.00,0.00,1.00,0.00,0.00,0.07,0.15,0.20,0.15,0.02,0.02,0.02,,,0.02,0.98,0.29,0.76,0.55,,0.28,0.44,0.44,,0.03,,,,,,,,0.15
16,China,Wuhan,13,Positive only,50,0.85,0.00,0.00,1.00,0.00,0.00,0.00,0.15,0.08,0.23,0.08,0.00,0.00,,,0.00,1.00,0.62,0.85,0.92,,0.38,0.54,0.54,,0.00,,,,,,,,0.38
16,China,Wuhan,28,Positive only,49,0.68,0.00,0.00,1.00,0.00,0.00,0.11,0.14,0.25,0.11,0.00,0.04,0.04,,,0.04,0.96,0.14,0.71,0.37,,0.23,0.39,0.39,,0.04,,,,,,,,0.04
17,China,Wuhan,99,Positive only,56,0.68,0.00,0.00,1.00,0.00,0.00,,,0.12,,0.01,0.01,,,,0.17,0.83,,0.82,0.31,0.08,,0.11,,,0.02,0.01,,0.05,,,,,0.11
19,China,Wuhan,138,Positive only,56,0.54,0.00,0.00,1.00,0.00,0.00,,0.31,0.10,0.15,0.03,0.07,0.03,0.05,0.03,0.01,0.99,,0.59,0.31,0.07,0.27,0.35,0.70,,0.10,0.10,0.40,,,,,0.00,0.04
19,China,Wuhan,36,Positive only,66,0.61,0.00,0.00,1.00,0.00,0.00,,0.58,0.22,0.25,0.08,0.11,0.00,0.17,0.06,0.00,1.00,,0.58,0.64,0.08,0.22,0.33,0.81,,0.17,0.11,0.67,,,,,0.00,0.17
19,China,Wuhan,102,Positive only,51,0.52,0.00,0.00,1.00,0.00,0.00,,0.22,0.06,0.11,0.01,0.06,0.04,0.01,0.02,0.02,0.98,,0.60,0.20,0.06,0.28,0.35,0.66,,0.08,0.10,0.30,,,,,0.00,0.00
22,China,Northeast Chongqing,135,Positive only,46,0.53,0.00,0.00,1.00,0.00,0.00,0.07,0.10,0.09,0.05,0.00,0.03,0.02,,,,0.89,,0.77,0.13,0.33,0.09,0.33,0.33,,0.13,0.03,,,,,,,0.01
22,China,Northeast Chongqing,95,Positive only,42,0.55,0.00,0.00,1.00,0.00,0.00,0.08,0.09,0.03,0.01,0.00,0.01,0.01,,,,0.90,,0.71,0.10,0.24,0.05,0.26,0.26,,0.05,0.04,,,,,,,0.00
22,China,Northeast Chongqing,40,Positive only,60,0.53,0.00,0.00,1.00,0.00,0.00,0.03,0.10,0.23,0.15,0.10,0.08,0.03,,,,0.85,,0.88,0.19,0.28,0.18,0.48,0.48,,0.33,0.00,,,,,,,0.03
23,China,Wuhan,17,Positive only,45,0.53,0.00,0.00,1.00,0.00,0.00,0.18,0.06,0.00,0.00,0.00,0.00,,,0.00,0.18,0.71,,0.77,,,0.18,0.24,0.47,,0.12,,,,,,,,0.00
