Entity,Code,Date,daily_vaccinations
Alabama,,2021-01-13,5906
Alabama,,2021-01-14,7083
Alabama,,2021-01-15,7478
Alabama,,2021-01-16,7498
Alabama,,2021-01-17,7509
Alabama,,2021-01-18,7517
Alabama,,2021-01-19,7523
Alabama,,2021-01-20,7880
Alabama,,2021-01-21,10517
Alabama,,2021-01-22,14107
Alabama,,2021-01-23,16202
Alabama,,2021-01-24,18294
Alabama,,2021-01-25,18196
Alabama,,2021-01-26,17738
Alabama,,2021-01-27,18178
Alabama,,2021-01-28,16153
Alabama,,2021-01-29,14514
Alabama,,2021-01-30,17271
Alabama,,2021-01-31,15748
Alabama,,2021-02-01,15381
Alabama,,2021-02-02,16703
Alabama,,2021-02-03,17414
Alabama,,2021-02-04,18491
Alabama,,2021-02-05,18526
Alabama,,2021-02-06,16105
Alabama,,2021-02-07,15480
Alabama,,2021-02-08,15622
Alabama,,2021-02-09,17012
Alabama,,2021-02-10,18209
Alabama,,2021-02-11,19258
Alabama,,2021-02-12,20074
Alabama,,2021-02-13,20855
Alabama,,2021-02-14,21417
Alaska,,2021-01-13,2842
Alaska,,2021-01-14,3379
Alaska,,2021-01-15,4400
Alaska,,2021-01-16,4381
Alaska,,2021-01-17,4369
Alaska,,2021-01-18,4362
Alaska,,2021-01-19,4356
Alaska,,2021-01-20,4230
Alaska,,2021-01-21,4187
Alaska,,2021-01-22,4580
Alaska,,2021-01-23,4997
Alaska,,2021-01-24,5225
Alaska,,2021-01-25,5003
Alaska,,2021-01-26,4545
Alaska,,2021-01-27,4758
Alaska,,2021-01-28,4850
Alaska,,2021-01-29,4186
Alaska,,2021-01-30,3846
Alaska,,2021-01-31,3619
Alaska,,2021-02-01,3570
Alaska,,2021-02-02,3613
Alaska,,2021-02-03,3453
Alaska,,2021-02-04,3440
Alaska,,2021-02-05,3372
Alaska,,2021-02-06,3411
Alaska,,2021-02-07,3785
Alaska,,2021-02-08,4131
Alaska,,2021-02-09,4204
Alaska,,2021-02-10,4356
Alaska,,2021-02-11,4620
Alaska,,2021-02-12,4776
Alaska,,2021-02-13,5142
Alaska,,2021-02-14,5393
American Samoa,ASM,2021-01-13,453
American Samoa,ASM,2021-01-14,424
American Samoa,ASM,2021-01-15,586
American Samoa,ASM,2021-01-16,494
American Samoa,ASM,2021-01-17,439
American Samoa,ASM,2021-01-18,402
American Samoa,ASM,2021-01-19,376
American Samoa,ASM,2021-01-20,391
American Samoa,ASM,2021-01-21,385
American Samoa,ASM,2021-01-22,384
American Samoa,ASM,2021-01-23,390
American Samoa,ASM,2021-01-24,532
American Samoa,ASM,2021-01-25,501
American Samoa,ASM,2021-01-26,508
American Samoa,ASM,2021-01-27,539
American Samoa,ASM,2021-01-28,489
American Samoa,ASM,2021-01-29,479
American Samoa,ASM,2021-01-30,442
American Samoa,ASM,2021-01-31,268
American Samoa,ASM,2021-02-01,388
American Samoa,ASM,2021-02-02,349
American Samoa,ASM,2021-02-03,283
American Samoa,ASM,2021-02-04,310
American Samoa,ASM,2021-02-05,301
American Samoa,ASM,2021-02-06,333
American Samoa,ASM,2021-02-07,333
American Samoa,ASM,2021-02-08,214
American Samoa,ASM,2021-02-09,274
American Samoa,ASM,2021-02-10,322
American Samoa,ASM,2021-02-11,322
American Samoa,ASM,2021-02-12,429
American Samoa,ASM,2021-02-13,446
American Samoa,ASM,2021-02-14,446
Arizona,,2021-01-13,13390
Arizona,,2021-01-14,16155
Arizona,,2021-01-15,18577
Arizona,,2021-01-16,18257
Arizona,,2021-01-17,18065
Arizona,,2021-01-18,17937
Arizona,,2021-01-19,17846
Arizona,,2021-01-20,18163
Arizona,,2021-01-21,18605
Arizona,,2021-01-22,18895
Arizona,,2021-01-23,20939
Arizona,,2021-01-24,22706
Arizona,,2021-01-25,23526
Arizona,,2021-01-26,23517
Arizona,,2021-01-27,25196
Arizona,,2021-01-28,26179
Arizona,,2021-01-29,27393
Arizona,,2021-01-30,28059
Arizona,,2021-01-31,29069
Arizona,,2021-02-01,29564
Arizona,,2021-02-02,28681
Arizona,,2021-02-03,28255
Arizona,,2021-02-04,28424
Arizona,,2021-02-05,28337
Arizona,,2021-02-06,29917
Arizona,,2021-02-07,30732
Arizona,,2021-02-08,31487
Arizona,,2021-02-09,33164
Arizona,,2021-02-10,34531
Arizona,,2021-02-11,36494
Arizona,,2021-02-12,38691
Arizona,,2021-02-13,39176
Arizona,,2021-02-14,39989
